"uid","is_published","age","wc_description","wc_anamnesis","wc_solution","wc_outcome","ai_complete"
"exp3684","true",14,80,68,99,59,TRUE
"exp3683","true",17,81,63,188,63,TRUE
"exp3682","true",9,74,76,75,91,TRUE
"exp3681","true",14,66,72,64,17,TRUE
"exp3680","true",17,78,170,136,54,TRUE
"exp3679","true",12,114,103,108,129,TRUE
"exp3678","true",15,63,70,133,82,TRUE
"exp3677","true",9,82,63,105,NA,TRUE
"exp3676","true",12,78,60,70,87,TRUE
"exp3675","true",6,212,109,103,36,TRUE
"exp3674","true",15,62,68,77,19,TRUE
"exp3673","true",15,79,70,118,22,TRUE
"exp3672","true",14,72,132,94,139,TRUE
"exp3671","true",13,56,63,69,54,TRUE
"exp3670","true",13,77,65,77,80,TRUE
"exp3669","true",10,65,61,70,62,TRUE
"exp3668","true",15,72,79,103,44,TRUE
"exp3667","true",8,72,72,155,97,TRUE
"exp3666","true",12,75,69,80,42,TRUE
"exp3665","true",13,117,88,117,62,TRUE
"exp3664","true",12,114,70,129,102,TRUE
"exp3663","true",10,195,102,94,65,TRUE
"exp3662","true",14,164,65,78,69,TRUE
"exp3661","true",8,73,154,144,79,TRUE
"exp3660","true",13,96,73,78,57,TRUE
"exp3659","true",8,69,106,153,91,TRUE
"exp3658","true",14,90,85,79,64,TRUE
"exp3657","true",6,70,94,73,41,TRUE
"exp3656","true",12,66,64,99,45,TRUE
"exp3655","true",18,285,69,73,24,TRUE
"exp3654","true",9,101,71,111,105,TRUE
"exp3653","true",7,120,105,90,97,TRUE
"exp3652","true",9,243,69,83,25,TRUE
"exp3651","true",11,184,101,213,176,TRUE
"exp3650","true",15,111,110,160,150,TRUE
"exp3649","true",10,190,68,95,57,TRUE
"exp3648","true",14,73,92,69,88,TRUE
"exp3647","true",14,416,64,180,113,TRUE
"exp3646","true",14,84,90,88,61,TRUE
"exp3645","true",13,153,77,115,26,TRUE
"exp3644","true",13,66,102,126,174,TRUE
"exp3643","true",11,226,202,221,242,TRUE
"exp3642","true",19,156,72,113,329,TRUE
"exp3641","true",8,75,73,71,51,TRUE
"exp3640","true",10,72,69,76,66,TRUE
"exp3639","true",16,108,129,146,109,TRUE
"exp3638","true",10,108,71,157,111,TRUE
"exp3637","true",12,287,65,76,57,TRUE
"exp3636","true",14,79,101,142,109,TRUE
"exp3635","true",14,77,110,95,107,TRUE
"exp3634","true",14,82,121,101,106,TRUE
"exp3633","true",9,63,67,79,66,TRUE
"exp3632","true",12,189,169,73,109,TRUE
"exp3631","true",16,224,120,67,104,TRUE
"exp3630","true",12,157,71,138,103,TRUE
"exp3629","true",11,162,81,155,26,TRUE
"exp3628","true",13,115,72,79,17,TRUE
"exp3627","true",10,65,71,68,15,TRUE
"exp3626","true",13,62,62,102,103,TRUE
"exp3625","true",16,126,74,86,93,TRUE
"exp3624","true",9,69,82,82,91,TRUE
"exp3623","true",11,235,208,207,311,TRUE
"exp3622","true",10,104,121,71,37,TRUE
"exp3621","true",15,102,60,196,91,TRUE
"exp3620","true",15,101,127,168,137,TRUE
"exp3619","true",19,75,97,124,120,TRUE
"exp3618","true",14,74,76,86,44,TRUE
"exp3617","true",13,138,109,138,128,TRUE
"exp3616","true",7,192,166,220,161,TRUE
"exp3615","true",12,82,96,76,40,TRUE
"exp3614","true",15,67,62,67,14,TRUE
"exp3613","true",14,146,200,194,71,TRUE
"exp3611","true",13,119,76,99,67,TRUE
"exp3609","true",14,153,65,160,83,TRUE
"exp3608","true",9,71,101,69,39,TRUE
"exp3607","true",13,177,110,126,87,TRUE
"exp3606","true",7,170,137,132,79,TRUE
"exp3605","true",12,181,120,165,262,TRUE
"exp3604","true",7,124,155,63,42,TRUE
"exp3603","true",17,105,111,72,91,TRUE
"exp3602","true",6,92,68,69,19,TRUE
"exp3601","true",14,66,68,66,40,TRUE
"exp3600","true",13,117,79,122,44,TRUE
"exp3599","true",12,81,67,46,38,TRUE
"exp3598","true",15,175,118,167,110,TRUE
"exp3597","true",14,102,87,90,29,TRUE
"exp3596","true",14,250,73,178,85,TRUE
"exp3595","true",18,80,110,74,25,TRUE
"exp3594","true",14,93,69,92,93,TRUE
"exp3593","true",11,99,87,125,85,TRUE
"exp3592","true",16,77,86,74,41,TRUE
"exp3591","true",15,102,200,236,110,TRUE
"exp3590","true",12,226,206,232,101,TRUE
"exp3589","true",11,113,101,152,125,TRUE
"exp3588","true",12,233,393,124,78,TRUE
"exp3587","true",17,70,114,90,109,TRUE
"exp3586","true",7,118,164,113,91,TRUE
"exp3585","true",13,171,185,119,200,TRUE
"exp3584","true",7,83,67,106,32,TRUE
"exp3583","true",11,90,110,86,32,TRUE
"exp3582","true",17,223,75,72,67,TRUE
"exp3581","true",14,151,76,128,108,TRUE
"exp3580","true",12,67,66,71,75,TRUE
"exp3579","true",12,87,91,101,38,TRUE
"exp3578","true",14,125,148,239,96,TRUE
"exp3577","true",8,184,85,70,45,TRUE
"exp3576","true",7,62,69,88,61,TRUE
"exp3575","true",12,88,129,594,121,TRUE
"exp3574","true",11,126,101,85,101,TRUE
"exp3573","true",17,477,229,278,234,TRUE
"exp3571","true",18,242,86,101,106,TRUE
"exp3570","true",12,185,88,177,74,TRUE
"exp3569","true",14,74,71,115,98,TRUE
"exp3568","true",12,82,200,69,71,TRUE
"exp3567","true",16,73,90,77,57,TRUE
"exp3566","true",8,74,83,108,56,TRUE
"exp3565","true",14,95,77,289,61,TRUE
"exp3564","true",11,190,65,268,143,TRUE
"exp3563","true",13,124,91,153,96,TRUE
"exp3562","true",13,73,66,65,43,TRUE
"exp3561","true",16,88,79,65,48,TRUE
"exp3560","true",6,170,103,115,74,TRUE
"exp3559","true",12,67,100,127,63,TRUE
"exp3558","true",18,80,61,79,40,TRUE
"exp3557","true",12,65,99,97,55,TRUE
"exp3556","true",18,82,102,99,88,TRUE
"exp3555","true",12,178,89,178,149,TRUE
"exp3554","true",17,79,83,163,84,TRUE
"exp3553","true",14,136,89,89,126,TRUE
"exp3552","true",8,121,266,139,129,TRUE
"exp3551","true",11,72,56,58,34,TRUE
"exp3550","true",13,94,93,146,39,TRUE
"exp3549","true",8,334,92,415,57,TRUE
"exp3548","true",13,62,66,57,56,TRUE
"exp3547","true",14,148,108,189,113,TRUE
"exp3546","true",18,64,73,67,77,TRUE
"exp3545","true",16,117,77,96,38,TRUE
"exp3544","true",11,77,76,149,63,TRUE
"exp3543","true",15,304,119,80,106,TRUE
"exp3542","true",14,323,75,295,297,TRUE
"exp3541","true",17,146,65,64,59,TRUE
"exp3540","true",8,138,117,164,115,TRUE
"exp3539","true",15,108,94,155,41,TRUE
"exp3538","true",11,79,84,78,75,TRUE
"exp3537","true",13,135,66,116,37,TRUE
"exp3536","true",10,69,80,98,43,TRUE
"exp3535","true",13,93,73,135,47,TRUE
"exp3534","true",17,97,75,78,42,TRUE
"exp3533","true",13,108,88,140,75,TRUE
"exp3532","true",8,74,77,89,17,TRUE
"exp3531","true",12,112,81,108,98,TRUE
"exp3530","true",17,109,60,145,40,TRUE
"exp3529","true",18,88,75,104,57,TRUE
"exp3528","true",11,94,130,130,96,TRUE
"exp3527","true",14,72,83,125,25,TRUE
"exp3526","true",10,104,94,196,25,TRUE
"exp3525","true",18,94,92,208,153,TRUE
"exp3524","true",8,127,73,191,93,TRUE
"exp3523","true",13,241,169,229,306,TRUE
"exp3522","true",12,148,140,301,152,TRUE
"exp3521","true",14,77,67,73,94,TRUE
"exp3520","true",17,63,68,84,11,TRUE
"exp3519","true",14,91,68,88,21,TRUE
"exp3518","true",12,60,76,80,52,TRUE
"exp3517","true",13,569,402,251,280,TRUE
"exp3516","true",11,235,115,174,170,TRUE
"exp3515","true",9,129,134,203,43,TRUE
"exp3514","true",8,93,90,81,97,TRUE
"exp3513","true",13,91,68,127,51,TRUE
"exp3512","true",14,173,65,156,127,TRUE
"exp3511","true",17,72,71,68,20,TRUE
"exp3510","true",15,223,35,77,87,TRUE
"exp3509","true",14,162,78,101,127,TRUE
"exp3508","true",7,107,77,84,85,TRUE
"exp3507","true",13,118,90,98,99,TRUE
"exp3506","true",14,120,97,91,94,TRUE
"exp3505","true",14,186,80,134,192,TRUE
"exp3504","true",8,71,80,72,44,TRUE
"exp3503","true",14,85,78,75,58,TRUE
"exp3502","true",13,99,72,82,42,TRUE
"exp3501","true",9,92,80,87,52,TRUE
"exp3500","true",12,63,84,127,129,TRUE
"exp3499","true",17,99,83,190,85,TRUE
"exp3498","true",13,68,116,143,178,TRUE
"exp3497","true",15,66,62,70,9,TRUE
"exp3496","true",14,63,114,96,43,TRUE
"exp3495","true",18,144,100,144,119,TRUE
"exp3494","true",15,61,74,58,69,TRUE
"exp3493","true",0,70,70,67,35,TRUE
"exp3492","true",9,95,131,66,38,TRUE
"exp3491","true",15,194,154,70,103,TRUE
"exp3490","true",15,79,89,127,133,TRUE
"exp3489","true",8,104,146,102,41,TRUE
"exp3488","true",14,97,69,259,83,TRUE
"exp3487","true",16,169,85,189,42,TRUE
"exp3486","true",15,81,67,75,31,TRUE
"exp3485","true",8,67,70,68,13,TRUE
"exp3484","true",16,148,65,281,65,TRUE
"exp3483","true",16,69,77,64,29,TRUE
"exp3482","true",14,85,164,180,82,TRUE
"exp3481","true",13,163,84,229,151,TRUE
"exp3480","true",7,96,133,106,94,TRUE
"exp3479","true",13,104,74,263,80,TRUE
"exp3478","true",10,73,93,134,85,TRUE
"exp3477","true",14,73,64,66,41,TRUE
"exp3476","true",9,75,64,119,29,TRUE
"exp3475","true",14,72,96,229,58,TRUE
"exp3474","true",10,88,65,122,50,TRUE
"exp3473","true",11,208,79,72,126,TRUE
"exp3472","true",6,87,92,88,31,TRUE
"exp3471","true",16,78,69,115,79,TRUE
"exp3470","true",10,69,97,204,90,TRUE
"exp3469","true",15,64,75,56,44,TRUE
"exp3468","true",14,131,76,197,87,TRUE
"exp3467","true",12,78,66,91,33,TRUE
"exp3466","true",10,342,230,272,404,TRUE
"exp3465","true",13,375,76,135,71,TRUE
"exp3464","true",10,69,78,277,113,TRUE
"exp3463","true",7,113,75,99,31,TRUE
"exp3462","true",16,91,132,202,130,TRUE
"exp3461","true",14,126,134,91,145,TRUE
"exp3460","true",10,224,105,98,55,TRUE
"exp3459","true",13,281,91,278,64,TRUE
"exp3458","true",13,70,84,134,62,TRUE
"exp3457","true",13,141,110,527,109,TRUE
"exp3456","true",15,70,69,64,15,TRUE
"exp3455","true",13,67,68,71,4,TRUE
"exp3437","true",10,121,101,124,81,TRUE
"exp3436","true",12,66,65,84,27,TRUE
"exp3435","true",15,64,65,148,83,TRUE
"exp3434","true",11,170,179,449,109,TRUE
"exp3433","true",12,110,103,154,129,TRUE
"exp3432","true",16,79,110,102,72,TRUE
"exp3431","true",12,69,88,93,96,TRUE
"exp3430","true",14,94,64,96,49,TRUE
"exp3429","true",14,133,113,71,54,TRUE
"exp3428","true",16,102,68,90,37,TRUE
"exp3427","true",10,179,110,122,128,TRUE
"exp3426","true",13,94,138,104,16,TRUE
"exp3425","true",14,159,76,176,161,TRUE
"exp3424","true",15,65,62,68,18,TRUE
"exp3423","true",11,70,81,133,27,TRUE
"exp3422","true",14,203,174,164,102,TRUE
"exp3421","true",11,86,97,109,106,TRUE
"exp3420","true",12,160,116,101,63,TRUE
"exp3419","true",14,119,71,207,49,TRUE
"exp3418","true",15,75,105,79,76,TRUE
"exp3417","true",12,75,61,68,10,TRUE
"exp3416","true",19,76,89,88,24,TRUE
"exp3415","true",15,66,81,69,70,TRUE
"exp3414","true",9,130,89,120,20,TRUE
"exp3413","true",13,96,95,112,98,TRUE
"exp3412","true",13,127,116,194,58,TRUE
"exp3411","true",7,87,69,111,65,TRUE
"exp3410","true",16,193,149,217,167,TRUE
"exp3409","true",10,73,72,86,66,TRUE
"exp3408","true",9,153,89,79,95,TRUE
"exp3407","true",14,59,76,57,63,TRUE
"exp3406","true",9,116,83,84,58,TRUE
"exp3405","true",15,67,62,73,13,TRUE
"exp3404","true",13,92,77,62,17,TRUE
"exp3403","true",13,129,129,205,162,TRUE
"exp3402","true",14,137,233,176,69,TRUE
"exp3401","true",13,77,72,86,40,TRUE
"exp3400","true",10,129,74,70,97,TRUE
"exp3399","true",12,104,75,90,53,TRUE
"exp3398","true",11,69,72,78,88,TRUE
"exp3397","true",10,108,124,111,147,TRUE
"exp3396","true",16,84,72,109,81,TRUE
"exp3395","true",13,218,146,288,235,TRUE
"exp3394","true",15,259,320,445,168,TRUE
"exp3393","true",15,102,109,118,54,TRUE
"exp3392","true",15,137,176,266,195,TRUE
"exp3391","true",14,76,66,104,76,TRUE
"exp3390","true",8,76,104,80,159,TRUE
"exp3389","true",8,98,90,160,55,TRUE
"exp3388","true",9,114,74,109,81,TRUE
"exp3387","true",18,115,67,134,92,TRUE
"exp3386","true",11,71,63,75,30,TRUE
"exp3385","true",18,257,224,337,352,TRUE
"exp3384","true",13,72,69,72,67,TRUE
"exp3383","true",8,84,106,85,82,TRUE
"exp3382","true",12,78,68,79,14,TRUE
"exp3381","true",12,69,72,87,31,TRUE
"exp3380","true",19,65,75,65,38,TRUE
"exp3379","true",17,69,96,85,65,TRUE
"exp3378","true",15,159,112,274,240,TRUE
"exp3377","true",12,62,56,78,65,TRUE
"exp3376","true",13,95,87,93,96,TRUE
"exp3375","true",13,110,15,96,56,TRUE
"exp3374","true",13,106,99,145,112,TRUE
"exp3373","true",17,134,186,246,123,TRUE
"exp3372","true",8,64,66,67,6,TRUE
"exp3371","true",12,65,75,74,29,TRUE
"exp3370","true",16,63,69,85,44,TRUE
"exp3369","true",15,71,123,86,177,TRUE
"exp3368","true",14,69,73,67,23,TRUE
"exp3367","true",13,66,68,56,13,TRUE
"exp3366","true",15,100,78,108,60,TRUE
"exp3365","true",11,150,73,253,24,TRUE
"exp3364","true",9,106,99,117,55,TRUE
"exp3363","true",14,107,124,89,23,TRUE
"exp3362","true",18,98,106,190,72,TRUE
"exp3361","true",6,68,71,92,24,TRUE
"exp3360","true",10,134,329,197,181,TRUE
"exp3359","true",13,69,94,106,21,TRUE
"exp3358","true",19,315,114,209,180,TRUE
"exp3357","true",15,96,62,100,37,TRUE
"exp3356","true",16,95,61,65,23,TRUE
"exp3355","true",13,87,88,81,67,TRUE
"exp3354","true",15,82,74,100,28,TRUE
"exp3353","true",12,84,75,74,33,TRUE
"exp3352","true",16,83,70,143,95,TRUE
"exp3351","true",10,124,67,72,59,TRUE
"exp3350","true",10,129,69,106,85,TRUE
"exp3349","true",8,81,81,65,51,TRUE
"exp3348","true",14,217,213,216,206,TRUE
"exp3347","true",14,108,75,84,101,TRUE
"exp3346","true",16,68,61,137,15,TRUE
"exp3345","true",15,167,68,303,103,TRUE
"exp3344","true",11,98,70,60,62,TRUE
"exp3343","true",14,231,169,183,134,TRUE
"exp3342","true",12,73,70,78,15,TRUE
"exp3341","true",6,75,105,67,62,TRUE
"exp3340","true",9,73,58,79,35,TRUE
"exp3339","true",11,74,109,86,47,TRUE
"exp3338","true",0,337,176,198,123,TRUE
"exp3337","true",11,110,73,173,67,TRUE
"exp3336","true",14,89,72,65,44,TRUE
"exp3335","true",11,64,63,70,65,TRUE
"exp3334","true",14,172,101,307,175,TRUE
"exp3333","true",14,142,106,151,98,TRUE
"exp3332","true",9,76,85,84,138,TRUE
"exp3331","true",13,257,64,120,129,TRUE
"exp3330","true",6,85,68,114,51,TRUE
"exp3329","true",12,66,70,78,8,TRUE
"exp3328","true",7,76,110,95,145,TRUE
"exp3327","true",10,75,70,153,50,TRUE
"exp3326","true",18,69,86,141,56,TRUE
"exp3325","true",10,98,87,108,94,TRUE
"exp3324","true",15,163,360,373,152,TRUE
"exp3323","true",12,71,65,77,65,TRUE
"exp3322","true",15,78,68,75,11,TRUE
"exp3321","true",15,127,138,139,108,TRUE
"exp3320","true",17,66,88,93,39,TRUE
"exp3319","true",17,197,79,128,77,TRUE
"exp3318","true",11,100,80,88,23,TRUE
"exp3317","true",14,84,63,74,149,TRUE
"exp3316","true",7,91,74,71,14,TRUE
"exp3315","true",6,106,82,88,61,TRUE
"exp3314","true",6,68,80,157,92,TRUE
"exp3313","true",19,155,69,96,30,TRUE
"exp3312","true",10,281,140,207,272,TRUE
"exp3311","true",11,64,79,121,127,TRUE
"exp3310","true",9,76,104,71,87,TRUE
"exp3309","true",13,88,83,94,40,TRUE
"exp3308","true",15,96,67,78,48,TRUE
"exp3307","true",11,193,104,116,103,TRUE
"exp3306","true",14,113,71,246,102,TRUE
"exp3305","true",18,155,48,168,70,TRUE
"exp3304","true",10,97,82,174,28,TRUE
"exp3303","true",15,89,94,78,36,TRUE
"exp3302","true",6,62,114,70,101,TRUE
"exp3301","true",12,101,68,79,113,TRUE
"exp3300","true",14,132,91,101,76,TRUE
"exp3299","true",16,525,420,451,381,TRUE
"exp3298","true",7,113,74,123,71,TRUE
"exp3297","true",12,67,63,70,44,TRUE
"exp3296","true",17,109,151,201,134,TRUE
"exp3295","true",16,176,72,238,93,TRUE
"exp3294","true",16,294,235,350,311,TRUE
"exp3293","true",9,77,85,104,63,TRUE
"exp3292","true",10,231,227,183,23,TRUE
"exp3291","true",6,212,77,252,293,TRUE
"exp3290","true",11,71,68,251,142,TRUE
"exp3289","true",11,77,75,72,45,TRUE
"exp3288","true",14,281,148,72,126,TRUE
"exp3287","true",14,88,66,82,28,TRUE
"exp3286","true",6,123,74,104,60,TRUE
"exp3285","true",9,74,76,209,38,TRUE
"exp3284","true",12,91,96,142,136,TRUE
"exp3283","true",18,172,101,102,52,TRUE
"exp3282","true",9,70,81,68,20,TRUE
"exp3281","true",14,92,82,93,118,TRUE
"exp3280","true",14,67,68,139,51,TRUE
"exp3279","true",14,81,69,155,94,TRUE
"exp3278","true",11,364,64,103,216,TRUE
"exp3277","true",9,68,75,79,67,TRUE
"exp3276","true",0,77,61,66,51,TRUE
"exp3275","true",12,77,85,86,40,TRUE
"exp3274","true",13,87,111,94,104,TRUE
"exp3273","true",9,135,130,86,193,TRUE
"exp3272","true",11,68,71,86,26,TRUE
"exp3271","true",13,80,70,72,39,TRUE
"exp3270","true",12,63,63,102,203,TRUE
"exp3269","true",9,69,77,130,147,TRUE
"exp3268","true",12,45,77,119,72,TRUE
"exp3267","true",15,198,NA,NA,NA,TRUE
"exp3266","true",16,92,67,67,24,TRUE
"exp3265","true",8,80,73,84,42,TRUE
"exp3264","true",15,95,68,76,69,TRUE
"exp3263","true",8,92,116,95,59,TRUE
"exp3262","true",14,126,181,180,139,TRUE
"exp3261","true",10,91,102,140,133,TRUE
"exp3260","true",14,75,80,82,99,TRUE
"exp3259","true",13,75,82,68,20,TRUE
"exp3258","true",9,69,66,66,57,TRUE
"exp3257","true",15,319,79,164,271,TRUE
"exp3256","true",8,113,87,61,108,TRUE
"exp3255","true",13,65,76,66,29,TRUE
"exp3254","true",13,78,126,107,88,TRUE
"exp3253","true",12,71,122,200,56,TRUE
"exp3252","true",9,333,70,NA,NA,TRUE
"exp3251","true",17,157,85,111,58,TRUE
"exp3250","true",13,72,79,70,33,TRUE
"exp3249","true",15,346,128,492,286,TRUE
"exp3248","true",17,65,58,93,139,TRUE
"exp3247","true",6,141,145,218,44,TRUE
"exp3246","true",11,85,67,219,29,TRUE
"exp3245","true",6,85,69,82,49,TRUE
"exp3244","true",13,187,123,353,174,TRUE
"exp3243","true",13,433,97,174,163,TRUE
"exp3242","true",9,184,174,160,72,TRUE
"exp3241","true",12,62,103,67,48,TRUE
"exp3240","true",10,71,116,98,56,TRUE
"exp3239","true",16,70,58,155,74,TRUE
"exp3238","true",15,75,66,72,49,TRUE
"exp3237","true",12,182,143,248,188,TRUE
"exp3236","true",19,82,76,97,20,TRUE
"exp3235","true",16,80,86,98,115,TRUE
"exp3234","true",15,91,184,98,24,TRUE
"exp3233","true",18,77,76,66,46,TRUE
"exp3232","true",13,65,66,76,29,TRUE
"exp3231","true",15,144,121,215,116,TRUE
"exp3230","true",12,157,99,214,157,TRUE
"exp3229","true",14,81,95,71,88,TRUE
"exp3228","true",6,85,69,141,84,TRUE
"exp3227","true",11,76,80,80,68,TRUE
"exp3226","true",11,106,79,78,52,TRUE
"exp3225","true",17,90,71,80,44,TRUE
"exp3224","true",7,98,111,69,80,TRUE
"exp3223","true",6,92,72,66,56,TRUE
"exp3222","true",15,146,70,87,35,TRUE
"exp3221","true",15,145,73,93,21,TRUE
"exp3220","true",14,109,79,167,64,TRUE
"exp3219","true",12,148,91,218,59,TRUE
"exp3218","true",17,83,142,114,58,TRUE
"exp3217","true",14,73,79,68,20,TRUE
"exp3216","true",12,85,77,130,77,TRUE
"exp3215","true",18,109,66,103,51,TRUE
"exp3214","true",15,94,61,63,42,TRUE
"exp3213","true",9,201,87,186,54,TRUE
"exp3212","true",14,105,87,79,29,TRUE
"exp3211","true",13,74,83,260,313,TRUE
"exp3210","true",7,144,108,71,82,TRUE
"exp3209","true",15,94,68,108,25,TRUE
"exp3208","true",15,111,46,122,48,TRUE
"exp3207","true",17,159,140,178,132,TRUE
"exp3206","true",12,66,74,59,44,TRUE
"exp3205","true",12,64,67,90,21,TRUE
"exp3204","true",15,71,79,91,16,TRUE
"exp3203","true",6,191,131,169,64,TRUE
"exp3202","true",14,442,339,442,407,TRUE
"exp3201","true",13,107,85,83,45,TRUE
"exp3200","true",12,88,73,77,21,TRUE
"exp3199","true",17,129,74,89,84,TRUE
"exp3198","true",15,74,90,66,40,TRUE
"exp3197","true",13,75,87,90,41,TRUE
"exp3196","true",12,83,94,79,78,TRUE
"exp3195","true",7,73,73,170,170,TRUE
"exp3194","true",13,408,97,282,186,TRUE
"exp3193","true",10,78,118,138,121,TRUE
"exp3192","true",15,125,111,103,40,TRUE
"exp3190","true",16,78,68,77,306,TRUE
"exp3189","true",11,69,76,74,23,TRUE
"exp3188","true",17,82,67,112,121,TRUE
"exp3187","true",16,59,71,70,36,TRUE
"exp3186","true",11,69,73,81,23,TRUE
"exp3185","true",10,78,66,84,75,TRUE
"exp3184","true",11,83,96,120,79,TRUE
"exp3183","true",11,67,67,85,10,TRUE
"exp3182","true",15,88,102,119,69,TRUE
"exp3181","true",15,75,68,72,40,TRUE
"exp3180","true",9,76,67,137,41,TRUE
"exp3179","true",8,106,74,183,41,TRUE
"exp3178","true",15,73,98,86,30,TRUE
"exp3177","true",9,110,94,161,117,TRUE
"exp3176","true",13,76,70,76,26,TRUE
"exp3175","true",18,161,91,79,76,TRUE
"exp3174","true",14,81,73,94,159,TRUE
"exp3173","true",18,121,77,113,168,TRUE
"exp3172","true",14,72,92,101,44,TRUE
"exp3171","true",13,69,79,81,68,TRUE
"exp3170","true",12,134,104,140,143,TRUE
"exp3169","true",17,140,103,76,127,TRUE
"exp3168","true",9,99,98,92,620,TRUE
"exp3167","true",14,113,109,130,8,TRUE
"exp3166","true",8,59,81,102,39,TRUE
"exp3165","true",14,63,69,80,9,TRUE
"exp3164","true",10,289,64,87,42,TRUE
"exp3163","true",16,71,80,84,63,TRUE
"exp3162","true",13,142,72,76,42,TRUE
"exp3161","true",15,125,116,190,95,TRUE
"exp3160","true",10,97,79,123,71,TRUE
"exp3159","true",11,86,82,158,89,TRUE
"exp3158","true",16,139,95,93,28,TRUE
"exp3157","true",14,115,75,154,68,TRUE
"exp3156","true",14,88,75,82,22,TRUE
"exp3155","true",15,95,68,108,59,TRUE
"exp3154","true",12,85,74,113,107,TRUE
"exp3153","true",11,62,116,63,54,TRUE
"exp3152","true",12,147,74,221,51,TRUE
"exp3151","true",9,102,78,159,78,TRUE
"exp3150","true",10,66,69,90,27,TRUE
"exp3149","true",14,69,61,75,71,TRUE
"exp3148","true",13,122,80,103,49,TRUE
"exp3147","true",8,84,177,122,67,TRUE
"exp3146","true",11,114,64,74,4,TRUE
"exp3145","true",9,106,67,67,22,TRUE
"exp3144","true",11,64,82,66,16,TRUE
"exp3143","true",10,124,84,67,118,TRUE
"exp3142","true",13,275,65,183,52,TRUE
"exp3141","true",13,119,75,86,30,TRUE
"exp3140","true",10,113,68,105,77,TRUE
"exp3139","true",12,118,125,146,231,TRUE
"exp3138","true",6,80,101,140,91,TRUE
"exp3137","true",14,101,78,119,18,TRUE
"exp3136","true",14,75,65,88,46,TRUE
"exp3135","true",8,88,67,74,11,TRUE
"exp3134","true",15,92,92,77,19,TRUE
"exp3133","true",17,69,146,106,117,TRUE
"exp3132","true",12,158,NA,120,259,TRUE
"exp3131","true",8,104,79,162,71,TRUE
"exp3130","true",13,79,70,85,64,TRUE
"exp3129","true",13,93,69,106,113,TRUE
"exp3128","true",12,121,76,94,81,TRUE
"exp3127","true",11,112,76,89,38,TRUE
"exp3126","true",15,81,103,84,114,TRUE
"exp3125","true",12,113,69,78,45,TRUE
"exp3124","true",13,120,80,75,48,TRUE
"exp3123","true",11,59,61,66,73,TRUE
"exp3122","true",13,100,69,89,36,TRUE
"exp3121","true",15,70,64,75,14,TRUE
"exp3120","true",15,104,111,82,38,TRUE
"exp3119","true",14,153,89,164,78,TRUE
"exp3118","true",16,110,88,120,145,TRUE
"exp3117","true",12,150,154,170,93,TRUE
"exp3116","true",15,157,118,139,19,TRUE
"exp3115","true",12,104,71,70,53,TRUE
"exp3114","true",18,61,91,67,31,TRUE
"exp3112","true",15,65,77,63,36,TRUE
"exp3111","true",7,85,73,87,105,TRUE
"exp3110","true",11,90,95,76,81,TRUE
"exp3109","true",16,74,72,66,56,TRUE
"exp3108","true",0,68,71,114,91,TRUE
"exp3107","true",14,84,112,178,150,TRUE
"exp3106","true",18,89,73,71,81,TRUE
"exp3105","true",13,91,142,73,114,TRUE
"exp3104","true",11,209,67,99,18,TRUE
"exp3103","true",12,72,65,92,56,TRUE
"exp3102","true",10,83,114,71,69,TRUE
"exp3101","true",14,84,59,100,69,TRUE
"exp3100","true",11,72,91,74,5,TRUE
"exp3098","true",10,188,74,189,45,TRUE
"exp3097","true",12,69,64,73,43,TRUE
"exp3096","true",9,67,82,68,23,TRUE
"exp3095","true",7,89,69,79,39,TRUE
"exp3094","true",14,138,134,196,148,TRUE
"exp3093","true",12,77,87,73,39,TRUE
"exp3092","true",10,70,82,65,47,TRUE
"exp3091","true",16,80,75,64,55,TRUE
"exp3090","true",7,248,101,101,74,TRUE
"exp3089","true",0,63,70,67,15,TRUE
"exp3088","true",19,133,64,254,37,TRUE
"exp3087","true",12,308,60,115,159,TRUE
"exp3086","true",15,69,94,155,41,TRUE
"exp3085","true",14,80,67,215,15,TRUE
"exp3084","true",13,134,99,100,114,TRUE
"exp3083","true",14,65,55,87,20,TRUE
"exp3082","true",15,157,115,154,106,TRUE
"exp3081","true",16,104,86,69,73,TRUE
"exp3080","true",15,119,79,122,48,TRUE
"exp3079","true",18,205,64,189,32,TRUE
"exp3078","true",17,86,178,158,31,TRUE
"exp3077","true",13,81,67,157,54,TRUE
"exp3076","true",12,121,77,139,44,TRUE
"exp3075","true",13,66,115,97,57,TRUE
"exp3074","true",15,80,77,234,96,TRUE
"exp3073","true",11,128,107,141,42,TRUE
"exp3072","true",16,345,231,271,282,TRUE
"exp3071","true",9,75,65,144,94,TRUE
"exp3070","true",15,115,78,112,142,TRUE
"exp3069","true",12,69,68,80,64,TRUE
"exp3068","true",11,301,72,204,18,TRUE
"exp3067","true",16,74,73,65,55,TRUE
"exp3066","true",15,111,115,195,104,TRUE
"exp3065","true",7,413,88,179,240,TRUE
"exp3064","true",14,79,43,88,30,TRUE
"exp3063","true",8,78,108,103,238,TRUE
"exp3062","true",10,225,148,227,102,TRUE
"exp3061","true",10,332,68,107,37,TRUE
"exp3060","true",14,127,70,113,42,TRUE
"exp3059","true",9,93,101,105,94,TRUE
"exp3058","true",16,82,82,131,29,TRUE
"exp3057","true",14,68,67,112,40,TRUE
"exp3056","true",6,116,68,72,102,TRUE
